id,summary,updaterName,updated,State,Priority,Sprint,Category,Assignee
CMLB-1806,ComplexSubmodel / Возможность выбора субмодели в качестве reference'а / BE,alena.kamneva,1581324014516,Discussion,Minor,2020.3,Fixes&Improvements,skopin
CMLB-2679,Submodels / Валидация полей на спец.символы / BE,alena.kamneva,1581324014515,Discussion,Normal,2020.3,Fixes&Improvements,skopin
CMLB-3192,Key-results / Некорректное название сущности database / FE + BE,alena.kamneva,1581324014516,Discussion,Normal,2020.3,Fixes&Improvements,skopin
CMLB-3584,Bench / Обрезать часть Path при слишком длинном Path / Specification,bogdan.kozatskiy,1581426547422,Open,Normal,2020.3,Fixes&Improvements,bogdan.kozatskiy
CMLB-3636,Multivariant / Не блокируется кнопка Create при двойном клике  / FE,bogdan.kozatskiy,1581332589654,Open,Normal,2020.3,Fixes&Improvements,bogdan.kozatskiy
CMLB-3674,Multivariant / Проверка прав доступа для симуляций / BE,alena.kamneva,1581324014517,Discussion,Normal,2020.3,,anton.lukashin
CMLB-3683,Feedback / Дублирование фидбека при создании при быстром клике на кнопку Create / FE,bogdan.kozatskiy,1581092190699,Open,Normal,2020.3,Fixes&Improvements,bogdan.kozatskiy
CMLB-3694,"Users / Визуально показывать заблокированных пользователей в таблице ""Users"" / Specification",kirill.krasov,1581598566954,Open,Normal,2020.3,Fixes&Improvements,bogdan.kozatskiy
CMLB-3791,Meta / Открытие страницы субмодели со страницы task'a / Specification,alena.kamneva,1581320734231,Discussion,Normal,2020.3,New feature,valerii.belopolskii
CMLB-3792, Meta / Открытие страницы субмодели со страницы task'a / BE,valerii.belopolskii,1581242404534,Discussion,Normal,2020.3,Fixes&Improvements,valerii.belopolskii
CMLB-3793,Meta / Открытие страницы субмодели со страницы task'a / FE,valerii.belopolskii,1581242395377,Discussion,Normal,2020.3,Fixes&Improvements,valerii.belopolskii
CMLB-3894,"Simulation / Виснет страница при запуске на постпроцесс симуляции, удаленной с другой страницы / FE",alena.kamneva,1581324014517,Discussion,Minor,2020.3,Fixes&Improvements,skopin
CMLB-4051,Table / Исследование активности кнопок в шапке таблиц / FE,nikita.knyazkin,1581598432462,Discussion,Normal,2020.3,Organization,nikita.knyazkin
CMLB-4777,Multivariant / Изменение логики работы с  variable submodels / BE,alena.kamneva,1581324014517,Discussion,Normal,2020.3,Fixes&Improvements,skopin
CMLB-4905,Tuning / Исправить сообщения для пользователя и диапазон значений в полях Before free и Number of nodes блока Parametres / BE,ekaterina.tcvetkova,1581308015771,Discussion,Minor,2020.3,Fixes&Improvements,skopin
CMLB-4922,RemoteApp / Исследовать возможность удаленной работы с приложением на сервере через браузер / DevOps,alena.kamneva,1581576363851,In Progress,Normal,2020.3,New feature,nikita.kornilov
CMLB-4962,Security / Провести анализ состояния развернутых окружений с точки зрения безопасности  / DevSecOps,anatoly.karpenko,1581557708450,Open,Normal,2020.3,Production support,anatoly.karpenko
CMLB-4963,Развернуть IVRE для мониторинга сервисов / DevSecOps,anatoly.karpenko,1581557708449,In Progress,Normal,2020.3,Production support,anatoly.karpenko
CMLB-5121,Стратегия развития проекта 2019,alena.kamneva,1581324014518,Discussion,Normal,2020.3,Organization,skopin
CMLB-5149,Chart / Перейти на новый формат для графиков Key result / FE,kirill.krasov,1581490808556,Fixed,Normal,2020.3,Technical debt,bogdan.kozatskiy
CMLB-5220,Chart / Перейти на новый формат для графиков Key result / BE,kirill.krasov,1581490821796,Fixed,Normal,2020.3,Technical debt,oleg.rekin
CMLB-5339,Настроить возможность входа  TestLink через ldap аккаунт / DevOps,ekaterina.tcvetkova,1581596294947,Fixed,Normal,2020.3,Fixes&Improvements,anatoly.karpenko
CMLB-5345,Bench / Перенести чек-лист Submodel Duplicates в TestPad / QA,ekaterina.tcvetkova,1581646489517,Open,Normal,2020.3,Test Documentation,nikita.knyazkin
CMLB-5346,Bench / Перенести чек-лист META в TestPad / QA,ekaterina.tcvetkova,1581646496383,Open,Normal,2020.3,Test Documentation,nikita.knyazkin
CMLB-5347,Bench / Перенести чек-лист RefGraph в TestPad / QA,nikita.knyazkin,1581942346421,In Progress,Normal,2020.3,Test Documentation,nikita.knyazkin
CMLB-5349,Bench / Перенести чек-лист Конвертация Simulation File в Submodel в TestPad / QA,nikita.knyazkin,1581686057664,Open,Normal,2020.3,Test Documentation,nikita.knyazkin
CMLB-5350,Bench / Перенести чек-лист Cluster в TestPad / QA,kirill.krasov,1581919831372,Open,Normal,2020.3,Test Documentation,kirill.krasov
CMLB-5354,Bench / Перенести чек-лист Solvers в TestPad / QA,nikita.knyazkin,1581942360006,Open,Normal,2020.3,Test Documentation,nikita.knyazkin
CMLB-5408,"Tree / Исследование производительности, шаг 2 / BE",dmytro.miroshnychenko,1581319623672,Discussion,Normal,2020.3,Fixes&Improvements,dmytro.miroshnychenko
CMLB-5427,Database / Автоматическое накатывание миграций при старте сервиса / BE,alena.kamneva,1581576363840,Discussion,Normal,2020.3,Production support,ilya.belan
